"","Filename","User","Frame","Full_Time","Full_Distance","Frame_Time","Frame_Distance","Acc_mean_X","Acc_mean_Y","Acc_mean_Z","Acc_std_X","Acc_std_Y","Acc_std_Z","Acc_mad_X","Acc_mad_Y","Acc_mad_Z","Acc_max_X","Acc_max_Y","Acc_max_Z","Acc_min_X","Acc_min_Y","Acc_min_Z","Acc_sma","Acc_energy_X","Acc_energy_Y","Acc_energy_Z","Acc_iqr_X","Acc_iqr_Y","Acc_iqr_Z","Acc_entropy_X","Acc_entropy_Y","Acc_entropy_Z","Acc_correlation_X.Y","Acc_correlation_X.Z","Acc_correlation_Y.Z","Acc_skewness_X","Acc_skewness_Y","Acc_skewness_Z","Acc_kurtosis_X","Acc_kurtosis_Y","Acc_kurtosis_Z"
"634","u03_moving_rightarm_20_n_1_7","u03","20_n_1_7",2.67889457648485,20,0.483307008,3.60825701946195,-0.01491373436,-0.0047314357376,-0.0434891136,0.149943043132815,0.0636385603112202,0.124451490653867,-0.042653352,0.0018630028,-0.051506996,0.3316086,0.11540437,0.21395683,-0.27853107,-0.119197845,-0.26467133,0.2858435788816,0.0218060190091327,0.00391025818828445,0.0167599495866445,0.239671464,0.084989786,0.201918603,4.60943564394529,2.11519492957052,3.44928577384048,-0.464438375332215,-0.295193734292949,-0.126593405298668,0.403819158841784,-0.379856335511708,-0.019582358408921,-0.624714958258889,-0.964895410550691,-1.04231853946488
"635","u03_moving_rightarm_20_n_1_8","u03","20_n_1_8",2.67889457648485,20,0.4833984,3.60893933074662,0.12279956278,-0.0637632128056,-0.0435915767996,0.258936292466124,0.120114802608444,0.132369504820962,0.108623624,-0.02972591,-0.040841103,0.8355064,0.07999849,0.21395683,-0.22596282,-0.38067865,-0.26467133,0.4112103430892,0.0794458160328171,0.017916210480731,0.0187210439421602,0.266808125,0.13809526,0.20606232,2.9183188561254,2.67029496194426,3.41033547446346,0.145570064393936,-0.274777159534787,-0.0840612301007189,1.09226831584291,-1.04883855754605,-0.0798853683168605,0.998707383253149,0.285334198316008,-1.2114069790054
"636","u03_moving_rightarm_20_n_1_9","u03","20_n_1_9",2.67889457648485,20,0.483459328,3.60939420493641,-0.00205787686,-0.056105384188,-0.0168786242396,0.319810617441955,0.145921695578994,0.109710826607689,-0.08299267,-0.0054956675,-0.019955635,0.8355064,0.1317246,0.23806381,-0.38505995,-0.38067865,-0.24488735,0.4428260129916,0.0981919126446312,0.0235892297259057,0.0118398948121663,0.41498062,0.206306457,0.12761021,-91.2487264395061,2.75809592814188,3.94311070555167,0.0962296111935224,-0.435782774516354,0.0649916685963684,1.10475709883679,-0.745081057070346,0.152800453756299,0.447077863242553,-0.764626710155692,-0.088219024263922
"637","u03_moving_rightarm_20_n_2_1","u03","20_n_2_1",2.65872205777099,20,0.483429129770992,3.63655259381485,0.3764409294,0.128659367048,-0.1426255407,0.167059804186731,0.135197102205058,0.0781724437140881,0.3703728,0.12420201,-0.15352249,0.71302557,0.4239819,0.0021419525,0,-0.1283319,-0.26686192,0.664950063108,0.168500392375448,0.034100358916051,0.0262085385779503,0.17548296,0.22219884,0.12229061,3.10183051558582,2.89755748465085,3.03733940304304,0.415567218333186,-0.288654801254902,0.173515708632805,-0.172247964174588,0.251031106062684,0.197484964303505,-0.23256861332729,-0.726875601747049,-1.05282404723044
"638","u03_moving_rightarm_20_n_2_10","u03","20_n_2_10",2.65872205777099,20,0.483367936,3.63609226912003,-0.052420505832,0.02046024368,-0.040872454832,0.421613572309747,0.123724064837937,0.530328919624693,-0.0017838478,0.034555674,0.021271706,0.8811051,0.25073624,0.45710182,-1.8458006,-0.32291627,-2.514799,0.440916297128,0.173395593613238,0.015113960022666,0.271669370034676,0.12069595,0.10953367,0.101922035,1.23853825226811,4.11309707775928,-1.40159818603684,0.398066739139649,-0.54933894065918,-0.523194802558556,-2.63891015436425,-0.630444090601245,-3.997956778654,11.0594678697992,0.82518530417951,15.9934301828379
"639","u03_moving_rightarm_20_n_2_2","u03","20_n_2_2",2.65872205777099,20,0.4833984,3.63632143184813,0.22755801956,0.072708955216,-0.106720352156,0.1921883301755,0.0934100166361782,0.0858330249466109,0.23030299,0.10726166,-0.09639835,0.55864644,0.26008606,0.1005249,-0.18459743,-0.1283319,-0.26686192,0.468720009884,0.0872415523514904,0.0136630061282545,0.0184618494089268,0.2258125,0.1254997298,0.09438324,3.0316076479542,2.99517153424219,3.06913692617387,0.229754017947947,-0.186549349760533,0.404551987350807,-0.326421071156428,-0.151397356295626,0.251795963891683,-0.743581497663233,-0.76768892115913,-0.216087233813245
"640","u03_moving_rightarm_20_n_2_3","u03","20_n_2_3",2.65872205777099,20,0.4833984,3.63632143184812,0.16024898636,0.0433223775944,-0.049860077236,0.145177148438733,0.0802532675824756,0.07540478903281,0.17339814,0.009238243,-0.06251621,0.38954383,0.20235908,0.1005249,-0.18459743,-0.065962195,-0.22479534,0.3302523771024,0.0459130858810572,0.00805979187978962,0.00794447422269916,0.238237855,0.129018185,0.101163866,3.08635686350643,2.83214176392665,3.10280851593234,0.0188149075471401,0.269643687855909,0.202684989900001,-0.527909433642683,0.365308544338107,0.0281690541630913,-0.385287903886757,-1.21049033616479,-0.374685678209224
"641","u03_moving_rightarm_20_n_2_4","u03","20_n_2_4",2.65872205777099,20,0.483367935999998,3.63609226912002,0.2173787224,-0.0143639708804,-0.056373024436,0.0865569857572485,0.0874549975800936,0.0687227085680818,0.2035265,-0.009240627,-0.068507195,0.38954383,0.12472999,0.079730034,0.05497408,-0.2389667,-0.2025528,0.3552733681156,0.0544459362643016,0.0075487651971178,0.00771181613007802,0.14445108,0.086291196,0.0959062551,3.13867481397145,3.59928135063404,2.9977087990497,0.00706502085854414,0.0561319145425698,0.0177038401438031,0.128629288501617,-0.387112331116575,0.0553760438437658,-0.85927184198856,0.154757407391755,-0.720306992473751
"642","u03_moving_rightarm_20_n_2_5","u03","20_n_2_5",2.65872205777099,20,0.484588799999998,3.64527610987864,0.14739703156,-0.0212177899108,-0.01880569506,0.099105332749174,0.140121476845259,0.112514555379811,0.15819752,-0.032685995,-0.06148815,0.3449813,0.36534858,0.24947357,-0.01612395,-0.29889727,-0.2025528,0.3457816651412,0.0311548772128512,0.0192988617510633,0.0125067983321137,0.137724224,0.118013028,0.135929105,2.99329616165549,3.8470172533476,4.29177809132088,-0.367398189929469,-0.428701939367427,0.155506060421417,0.192227239136144,0.488648739467961,0.658621490542018,-0.74689732257775,0.669074747277545,-0.305169104814783
"643","u03_moving_rightarm_20_n_2_6","u03","20_n_2_6",2.65872205777099,20,0.483428864,3.63655059457622,0.01470625328,0.0019379284452,0.001951102936,0.13664833874174,0.133533188551023,0.0992418784328589,0.045042217,0.009286046,-0.03314686,0.19817322,0.36534858,0.24947357,-0.30169994,-0.29889727,-0.124129295,0.2854999878612,0.0181421316271778,0.0171216235134775,0.00945879922015393,0.13995278,0.14070189,0.126873015,4.84287012080659,-26.6432986774301,-20.1088283727023,-0.370449954301582,0.0325764698455108,0.158837384644273,-0.801303093925847,0.28535549614029,0.840312686057243,-0.298116077004705,0.784506386932772,-0.143089867669746
